epoch|iteration|loss|accuracy|text_span_loss|text_span_accuracy|time
0|0|16.4182186126709|0.0|0.4375|2.2669131755828857|0.5800561904907227
0|400|4.80848746329546|0.0|0.7646875|3.9090633207100733|131.80324268341064
1|0|1.0117037296295166|0.1875|0.9375|1348.0418440848243|0.3143019676208496
1|400|1.4317287559062242|0.03734375|0.80484375|8.717477296342555|131.3481297492981
2|0|0.9937092661857605|0.0625|0.875|1723.2987305835472|0.357527494430542
2|400|1.0296687665954232|0.109375|0.8365625|3.0834112120230865|132.21290755271912
3|0|1.2608342170715332|0.0625|0.625|1031.8391836315272|0.393143892288208
3|400|0.7908276246115565|0.18875|0.858125|2.256687041969539|131.43335342407227
4|0|0.41619154810905457|0.1875|0.9375|681.6662953749644|0.3473081588745117
4|400|0.6240687134489417|0.22734375|0.84390625|2.6063797101106787|131.52171397209167
5|0|0.11461018770933151|0.25|1.0|1057.2419475927481|0.3595569133758545
5|400|0.5770294777490199|0.24390625|0.83953125|3.796925032553811|132.44393301010132
6|0|0.8244233131408691|0.3125|0.8125|1017.5454826304441|0.2627229690551758
6|400|0.6008503207936883|0.27875|0.851875|3.078902125230229|132.04378724098206
7|0|0.5359427332878113|0.375|0.8125|800.5483671960826|0.2971804141998291
7|400|0.5592934863455593|0.27109375|0.8590625|2.575100582537997|131.7801501750946
8|0|0.308518648147583|0.1875|1.0|925.9865187222192|0.31135010719299316
8|400|0.4977185042575002|0.2928125|0.84921875|3.3990829232524136|132.90264105796814
9|0|0.5897916555404663|0.125|1.0|852.9800225911267|0.3572983741760254
9|400|0.5093524373788386|0.30890625|0.85265625|2.7958517429933454|130.69583368301392
10|0|0.6442086696624756|0.375|0.6875|991.3977455076574|0.3630218505859375
10|400|0.5098417617566884|0.33453125|0.8428125|4.4043592637361515|132.53778314590454
11|0|0.7572180032730103|0.1875|0.625|1208.4772112517621|0.4222371578216553
11|400|0.48951569370925424|0.32265625|0.8503125|3.977428810024|130.6989550590515
12|0|0.9218794703483582|0.1875|0.8125|1170.5556600271711|0.3403301239013672
12|400|0.461010142788291|0.32828125|0.84703125|3.842780421141573|130.56855154037476
13|0|0.17143115401268005|0.3125|0.9375|1024.4796275586584|0.3087480068206787
13|400|0.45709203647449614|0.33125|0.84875|3.942434146491982|131.37103056907654
14|0|0.3072485625743866|0.375|0.6875|1122.4066442668745|0.3260469436645508
14|400|0.46824893724173305|0.35703125|0.8621875|2.7816281180370743|131.49698948860168
15|0|1.0023146867752075|0.125|0.8125|1047.9243819834987|0.447277307510376
15|400|0.4557607604004443|0.341875|0.8459375|4.00803735519725|132.62543439865112
16|0|0.12889428436756134|0.5625|0.875|1147.6467723717471|0.3217287063598633
16|400|0.4695715335011482|0.34984375|0.85015625|3.724816152248768|131.15222072601318
17|0|0.42557626962661743|0.4375|0.9375|1243.789416733689|0.2895243167877197
17|400|0.5067031507194042|0.3528125|0.8428125|4.773681573449514|131.03196692466736
18|0|0.7896521687507629|0.1875|0.8125|1274.7310306384356|0.3293428421020508
18|400|0.4944022421911359|0.32265625|0.855|3.3252278499161387|131.28783988952637
19|0|0.8332794904708862|0.375|0.875|1336.5932944869305|0.3054802417755127
19|400|0.46973786951974034|0.35109375|0.851875|nan|131.42847609519958
20|0|0.06887197494506836|0.75|0.8125|1196.7578057755686|0.29775547981262207
20|400|0.39518128932453694|0.39515625|0.829375|8.133304022123545|131.23369526863098
21|0|1.0562360286712646|0.25|0.875|1072.8184188288196|0.296008825302124
21|400|0.4780960433371365|0.3509375|0.84828125|3.753690346594543|131.4144275188446
22|0|0.73500657081604|0.375|0.8125|1563.4443208938023|0.3276026248931885
22|400|0.5104389448277652|0.29296875|0.83953125|nan|131.83249592781067
23|0|0.39131778478622437|0.25|0.8125|986.416695782928|0.32079529762268066
23|400|0.4079677649214864|0.369375|0.8365625|3.5859978868548454|131.1580843925476
24|0|0.9700119495391846|0.375|0.875|885.3488176543358|0.3616011142730713
24|400|0.41550255235284567|0.37265625|0.85140625|3.2566943682465648|131.07397150993347
25|0|0.20653653144836426|0.25|0.9375|1094.1188827577657|0.36653566360473633
25|400|0.5215172556135803|0.3234375|0.84609375|3.5017052510922717|131.5691056251526
26|0|0.6967517137527466|0.375|0.875|1152.6357136754682|0.3569300174713135
26|400|0.5286067214608192|0.27859375|0.8384375|4.259559508193762|130.7004623413086
27|0|0.3100827634334564|0.3125|0.9375|1562.7536080592454|0.32658958435058594
27|400|0.5746866125799716|0.2625|0.82828125|5.139236233824484|131.16045713424683
28|0|1.0632100105285645|0.375|0.875|1580.4983724777317|0.4115409851074219
28|400|0.4977591961622238|0.275|0.8384375|4.868191407336264|131.30878376960754
29|0|1.2345011234283447|0.1875|0.8125|1311.6903595681024|0.37494969367980957
29|400|1.203830642402172|0.09|0.81828125|5.6742394307845965|130.0616970062256
30|0|0.685891330242157|0.0|0.8125|1549.7877806799174|0.31938862800598145
30|400|1.0790137925744057|0.024375|0.84390625|4.376114669319029|131.5442180633545
31|0|1.0046190023422241|0.125|0.8125|1425.7464906963596|0.309262752532959
